#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,C1,C2
m,in,in
175.2600,13.1839,11.6066
175.4124,13.1839,11.5846
175.5648,13.1869,11.6788
175.7172,12.9791,11.5690
175.8696,13.0164,11.9832
176.0220,13.3090,12.1744
176.1744,13.3170,12.2056
176.3268,13.3214,12.1368
176.4792,12.9414,11.8420
176.6316,13.0909,12.0146
176.7840,13.2032,12.0530
176.9364,13.2025,12.3152
177.0888,13.1913,12.3967
177.2412,13.2303,12.7117
177.3936,13.2737,12.3620
177.5460,13.3325,12.2839
177.6984,13.3294,12.3745
177.8508,13.3263,12.1712
178.0032,13.3193,12.2114
178.1556,13.3317,11.5313
178.3080,13.3356,11.1602
178.4604,13.3356,11.1633
178.6128,13.3356,11.1161
178.7652,13.3325,11.0375
178.9176,13.3356,11.2483
179.0700,13.2915,11.3492
179.2224,13.2985,11.3269
179.3748,13.2985,11.3630
179.5272,13.3400,11.4432
179.6796,13.3356,11.7495
179.8320,13.3317,11.8513
179.9844,13.3317,11.5250
180.1368,13.3400,11.1348
180.2892,13.3356,11.2231
180.4416,13.3317,11.1921
180.5940,13.3356,11.3866
180.7464,13.3356,11.4526
180.8988,13.3325,11.5029
181.0512,13.3356,11.5594
181.2036,13.3132,11.2392
181.3560,13.2551,11.1161
181.5084,13.2791,11.0411
181.6608,13.2768,11.1886
181.8132,13.2884,12.1144
181.9656,13.2303,11.1602
182.1180,13.2334,11.2514
182.2704,13.2303,11.3332
182.4228,13.2242,11.5438
182.5752,13.3139,11.9613
182.7276,13.1312,12.0866
182.8800,13.1312,12.0897
183.0324,13.1312,12.0772
183.1848,13.1436,12.0082
183.3372,13.3294,11.4463
183.4896,13.2241,11.0028
183.6420,13.2389,11.3303
183.7944,13.2471,11.3331
183.9468,13.2427,11.3206
184.0992,13.2389,11.3711
184.2516,12.9978,10.9524
184.4040,13.0939,11.0060
184.5564,13.0567,11.1602
184.7088,13.0567,11.1224
