#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,218.998795
DEPTH_WMSF,NPHI,ENPH,CNTC,CFTC,CNEC,CFEC,TNRA,ENRA
m,%,%,cps,cps,cps,cps,--,--
33.2232,53.8015,41.5445,1194.3721,233.3183,3668.4468,638.3437,4.6856,5.7468
33.3756,56.5925,40.9946,1184.6171,235.7599,3710.0510,651.1260,4.8678,5.6979
33.5280,56.1804,42.5053,1179.2343,224.7487,3734.1345,640.9780,4.8409,5.8257
33.6804,56.2243,42.7635,1079.0474,226.3011,3780.1890,646.6187,4.8438,5.8461
33.8328,59.9845,39.6984,1115.8464,239.8144,3825.5620,685.0621,5.0893,5.5843
33.9852,62.1717,35.6735,1156.5369,242.9569,3892.0332,743.9221,5.2321,5.2318
34.1376,58.5986,34.6752,1186.2391,242.9573,3987.7527,775.1982,4.9988,5.1442
34.2900,52.8960,36.5228,1222.8112,255.6761,4073.5859,767.7025,4.6265,5.3062
34.4424,47.7473,35.7414,1251.3135,273.1479,4152.7427,792.8511,4.2903,5.2377
34.5948,47.6521,35.5698,1252.0504,297.0404,4224.7866,808.9303,4.2841,5.2227
34.7472,48.5397,34.9712,1242.6151,297.0706,4273.6934,826.6066,4.3420,5.1702
34.8996,49.6836,34.5450,1253.0610,293.8058,4260.8628,830.1348,4.4167,5.1327
35.0520,49.8465,34.1293,1259.7712,290.6180,4244.8291,832.9398,4.4274,5.0962
35.2044,50.4198,32.5931,1267.7269,292.1619,4219.9019,850.6382,4.4648,4.9609
35.3568,50.5525,33.6324,1267.9927,290.7966,4220.3555,835.3033,4.4735,5.0525
35.5092,50.2342,33.2059,1268.5988,287.5599,4207.4219,838.9802,4.4527,5.0149
35.6616,49.4223,33.4584,1266.8395,285.9666,4218.6499,837.5048,4.3997,5.0372
35.8140,49.9660,33.0355,1268.4164,292.0062,4238.3457,847.6873,4.4352,4.9999
35.9664,51.8054,33.9680,1269.4215,292.1050,4253.9834,837.0663,4.5553,5.0820
36.1188,51.7279,33.6092,1271.7646,287.3254,4264.0596,844.2947,4.5502,5.0504
36.2712,50.1040,33.8650,1272.0284,284.4252,4283.0737,844.2952,4.4442,5.0730
36.4236,48.5753,33.0613,1277.9911,290.4637,4291.4360,857.9146,4.3443,5.0022
36.5760,50.0941,33.6090,1270.3259,295.2430,4311.9912,853.7878,4.4435,5.0504
36.7284,51.5677,33.4493,1263.8401,288.7224,4322.2861,858.2156,4.5397,5.0364
36.8808,53.2762,32.6239,1272.5427,285.8218,4330.7793,872.5117,4.6513,4.9636
37.0332,52.1809,32.3022,1292.5708,285.8714,4335.5767,878.5067,4.5798,4.9352
37.1856,51.2038,32.3665,1285.8689,289.2030,4362.4453,882.9351,4.5160,4.9408
37.3380,49.7392,33.0729,1286.7389,289.2031,4363.4800,872.1380,4.4203,5.0032
37.4904,48.2984,32.7650,1303.3947,293.8830,4375.3521,879.2841,4.3263,4.9760
37.6428,48.2232,32.3897,1298.3079,305.0470,4398.0952,889.7812,4.3214,4.9429
37.7952,47.4986,32.3375,1279.0176,305.0471,4425.4175,896.1443,4.2740,4.9383
37.9476,49.6384,32.8626,1294.5432,306.6926,4422.7930,887.2823,4.4138,4.9847
38.1000,48.7935,33.1584,1288.7195,292.3677,4429.5562,884.0133,4.3586,5.0107
38.2524,49.3580,34.4161,1279.4200,298.7985,4429.0796,864.8160,4.3955,5.1214
38.4048,49.0550,34.4188,1277.5441,294.0171,4436.8462,866.2926,4.3757,5.1216
38.5572,49.9931,34.4073,1281.7576,298.6717,4436.7734,866.4490,4.4369,5.1206
38.7096,50.6080,33.2344,1275.9365,293.9386,4422.8550,881.4971,4.4771,5.0174
38.8620,51.1441,33.1652,1288.8553,292.3946,4418.2422,881.6497,4.5121,5.0113
39.0144,53.8604,33.8560,1288.7200,290.8511,4411.9517,869.8365,4.6894,5.0722
39.1668,52.2960,33.6481,1297.2839,282.7318,4400.5264,870.7250,4.5873,5.0539
39.3192,51.7814,33.5990,1295.8127,287.5154,4412.4712,873.8351,4.5537,5.0495
39.4716,49.3479,33.1364,1298.8309,290.5703,4436.8105,885.8046,4.3948,5.0088
39.6240,51.1376,32.8709,1295.2145,296.9918,4431.5581,888.9108,4.5117,4.9854
39.7764,49.9505,33.4730,1303.9189,293.7524,4468.9619,886.9708,4.4341,5.0385
39.9288,50.0492,34.1596,1301.5854,300.3159,4462.2773,875.1511,4.4406,5.0989
40.0812,48.7899,34.7819,1312.6252,303.4511,4467.4585,866.8712,4.3584,5.1535
40.2336,49.4102,35.5107,1317.3090,308.2853,4446.6919,852.2646,4.3989,5.2175
40.3860,50.2886,35.6533,1318.8110,303.2137,4448.8447,850.6392,4.4562,5.2300
40.5384,49.4877,34.5795,1319.6818,300.0786,4434.7734,863.5079,4.4039,5.1358
40.6908,51.1788,33.0130,1311.9803,300.1313,4440.4028,888.4509,4.5143,4.9979
40.8432,49.5231,32.1051,1306.3083,293.8737,4413.4873,897.4627,4.4062,4.9177
40.9956,50.7731,31.8728,1301.6785,298.6016,4422.2412,903.0173,4.4879,4.8972
41.1480,49.0761,31.5810,1267.4176,281.0584,4428.4883,909.0891,4.3770,4.8713
41.3004,51.2358,31.7902,1237.4369,279.6114,4417.1685,903.3303,4.5181,4.8899
41.4528,59.1228,31.4885,1232.6891,266.8690,4301.3193,884.4720,5.0331,4.8631
41.6052,68.7585,32.0025,1239.3719,257.2306,4188.6128,853.3099,5.6622,4.9087
41.7576,83.3728,35.2653,1255.1910,239.6876,4111.9966,791.3820,6.6165,5.1960
41.9100,83.9923,40.1925,1355.4824,221.3799,4014.6426,713.3905,6.6569,5.6276
42.0624,77.4585,47.4422,1395.7739,222.9318,3906.0476,632.5338,6.2303,6.1752
42.2148,67.9089,48.1445,1373.2113,226.0741,3932.6833,632.2985,5.6068,6.2197
42.3672,61.1880,44.4293,1340.9229,223.6992,3923.7168,657.1093,5.1679,5.9712
42.5196,61.2463,41.6249,1293.1140,227.4114,3923.7175,681.9570,5.1717,5.7536
42.6720,56.7136,42.5119,1212.6704,232.2706,3946.8694,677.4338,4.8757,5.8262
42.8244,56.6354,42.5663,1182.2194,249.7697,3991.9468,684.6630,4.8706,5.8305
42.9768,54.9840,40.5376,1194.7015,254.3058,4082.2146,721.5186,4.7628,5.6578
43.1292,55.2984,38.7864,1205.2443,260.6328,4222.0278,767.0292,4.7833,5.5044
43.2816,53.3073,35.9198,1245.9379,267.0016,4309.7212,820.3723,4.6533,5.2534
43.4340,50.3092,34.4384,1268.9028,284.0416,4384.3540,855.7561,4.4576,5.1234
43.5864,47.8766,33.5269,1285.2828,304.6481,4458.2197,884.0064,4.2987,5.0432
43.7388,49.2887,33.0931,1311.8875,314.2055,4460.6318,891.2391,4.3909,5.0050
43.8912,49.9641,32.1758,1332.9016,308.1161,4461.1807,906.0089,4.4350,4.9240
