#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,RHOB,PEF,DRHO
m,g/cm3,barns/e-,g/cm3
124.3584,1.9031,2.8603,0.0149
124.5108,1.9081,2.7944,0.0178
124.6632,1.8941,2.7150,0.0092
124.8156,1.8904,2.7265,0.0087
124.9680,1.8955,2.8321,0.0105
125.1204,1.9022,2.9291,0.0103
125.2728,1.9062,2.9851,0.0084
125.4252,1.9030,2.9138,0.0110
125.5776,1.8953,2.7613,0.0091
125.7300,1.8913,2.6282,0.0085
125.8824,1.8610,2.4987,0.0081
126.0348,1.8537,2.3940,0.0192
126.1872,1.8341,2.3315,0.0219
126.3396,1.8567,2.3549,0.0462
126.4920,1.8509,2.3550,0.0456
126.6444,1.8834,2.4353,0.0695
126.7968,1.8849,2.4224,0.0526
126.9492,1.8641,2.5968,0.0225
127.1016,1.8488,2.7459,0.0090
127.2540,1.8579,2.8767,0.0094
127.4064,1.8696,2.9163,0.0079
127.5588,1.8873,2.9209,0.0084
127.7112,1.8957,2.9868,0.0093
127.8636,1.9040,2.9570,0.0084
128.0160,1.9148,2.9766,0.0087
128.1684,1.9202,2.9997,0.0079
128.3208,1.9109,3.0521,0.0039
128.4732,1.8954,2.8794,0.0064
128.6256,1.8934,2.4965,0.0081
128.7780,1.8828,2.1964,0.0089
128.9304,1.8495,2.0649,0.0169
129.0828,1.8276,2.1506,0.0450
129.2352,1.8412,2.3525,0.0910
129.3876,1.8954,2.6626,0.1256
129.5400,1.9013,2.7435,0.0961
129.6924,1.9078,2.7428,0.0676
129.8448,1.8948,2.6443,0.0365
129.9972,1.8941,2.5293,0.0348
130.1496,1.8941,2.4368,0.0348
130.3020,1.8817,2.4245,0.0360
130.4544,1.8668,2.4993,0.0312
130.6068,1.8534,2.5306,0.0248
130.7592,1.8400,2.5220,0.0233
130.9116,1.8494,2.4527,0.0463
131.0640,1.8531,2.4313,0.0568
131.2164,1.8555,2.4603,0.0516
131.3688,1.8388,2.4980,0.0258
131.5212,1.8342,2.5800,0.0121
131.6736,1.8400,2.5706,0.0201
131.8260,1.8741,2.5802,0.0417
131.9784,1.8759,2.6354,0.0431
132.1308,1.8739,2.5946,0.0414
132.2832,1.7528,2.6992,0.0049
132.4356,1.7092,2.7485,0.0446
132.5880,1.6749,2.5825,0.0689
132.7404,1.7448,2.5307,0.1464
132.8928,1.8072,2.4083,0.1571
133.0452,1.8486,2.7767,0.1202
133.1976,1.8900,2.7567,0.0699
133.3500,1.8692,2.7280,0.0150
133.5024,1.8646,2.7139,0.0120
