#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg,,
114.3000,0.3031,0.0096,0.0794,0.3134,5.2057,19.6988,165.4300,339.8000,174.4273
114.4524,0.3030,0.0124,0.0793,0.3134,5.2070,19.6981,164.7551,339.2285,174.5350
114.6048,0.3027,0.0127,0.0790,0.3134,5.2063,19.6978,164.4023,338.9059,174.5645
114.7572,0.3028,0.0118,0.0792,0.3134,5.2052,19.6958,164.3443,338.8867,174.6040
114.9096,0.3032,0.0104,0.0792,0.3134,5.2024,19.6931,164.3551,338.9509,174.6572
115.0620,0.3032,0.0061,0.0794,0.3134,5.2053,19.6940,165.9563,340.5679,174.6650
115.2144,0.3032,0.0029,0.0792,0.3134,5.2076,19.6932,165.7325,340.3546,174.6784
115.3668,0.3032,0.0029,0.0792,0.3134,5.2099,19.6917,165.9957,340.6317,174.6925
115.5192,0.3031,0.0035,0.0794,0.3134,5.2140,19.6924,165.9262,340.5639,174.6938
115.6716,0.3031,0.0011,0.0792,0.3133,5.2206,19.6967,166.1277,340.7021,174.6299
115.8240,0.3032,0.0020,0.0791,0.3133,5.2259,19.6961,166.4188,341.0382,174.6731
115.9764,0.3031,0.0019,0.0790,0.3133,5.2283,19.6922,166.1981,340.8236,174.6803
116.1288,0.3032,0.0015,0.0793,0.3133,5.2267,19.6864,166.2042,340.8223,174.6734
116.2812,0.3030,0.0053,0.0790,0.3133,5.2283,19.6834,165.7902,340.4000,174.6662
116.4336,0.3033,0.0018,0.0790,0.3133,5.2382,19.6891,165.9918,340.5876,174.6527
116.5860,0.3032,0.0015,0.0789,0.3133,5.2363,19.6834,166.2990,340.8835,174.6396
116.7384,0.3031,0.0017,0.0790,0.3133,5.2379,19.6816,166.2899,340.8519,174.6174
116.8908,0.3031,-0.0075,0.0790,0.3133,5.2398,19.6792,166.8900,341.4482,174.6110
117.0432,0.3029,0.0109,0.0790,0.3133,5.2453,19.6816,165.7272,340.2600,174.5914
117.1956,0.3029,0.0162,0.0787,0.3133,5.2473,19.6801,163.9945,338.5256,174.5971
117.3480,0.3030,0.0136,0.0787,0.3133,5.2483,19.6766,163.7659,338.2800,174.5786
117.5004,0.3031,0.0099,0.0787,0.3134,5.2487,19.6720,164.5680,339.0694,174.5646
117.6528,0.3030,0.0133,0.0789,0.3134,5.2469,19.6656,164.5113,339.0161,174.5668
117.8052,0.3025,0.0239,0.0789,0.3133,5.2516,19.6652,162.6236,337.1138,174.5590
117.9576,0.3018,0.0329,0.0790,0.3134,5.2585,19.6676,160.6727,335.1458,174.5487
118.1100,0.3015,0.0328,0.0787,0.3134,5.2623,19.6654,160.4591,334.9079,174.5252
118.2624,0.3013,0.0330,0.0787,0.3134,5.2584,19.6544,160.4027,334.9051,174.5789
118.4148,0.3020,0.0293,0.0786,0.3134,5.2630,19.6571,162.0793,336.4952,174.4869
118.5672,0.3023,0.0238,0.0786,0.3134,5.2709,19.6610,161.7622,336.1737,174.4838
118.7196,0.3027,0.0212,0.0787,0.3134,5.2761,19.6637,162.5577,336.9637,174.4756
118.8720,0.3025,0.0202,0.0787,0.3134,5.2772,19.6626,162.8464,337.2578,174.4801
119.0244,0.3026,0.0201,0.0786,0.3134,5.2757,19.6566,162.8529,337.2607,174.4764
119.1768,0.3027,0.0175,0.0785,0.3134,5.2814,19.6601,163.3304,337.6903,174.4270
119.3292,0.3032,0.0128,0.0783,0.3133,5.2852,19.6614,164.3179,338.7585,174.5043
119.4816,0.3026,0.0207,0.0784,0.3133,5.2825,19.6575,162.9225,337.3594,174.5054
119.6340,0.3026,0.0216,0.0784,0.3133,5.2814,19.6546,162.6485,337.0785,174.4995
119.7864,0.3028,0.0214,0.0781,0.3133,5.2819,19.6535,163.1935,337.6352,174.5092
119.9388,0.3020,0.0296,0.0785,0.3133,5.2861,19.6569,161.4270,335.8455,174.4923
120.0912,0.3022,0.0286,0.0787,0.3133,5.2871,19.6541,161.2791,335.6837,174.4790
120.2436,0.3022,0.0281,0.0784,0.3133,5.2871,19.6504,161.4289,335.7632,174.4082
120.3960,0.3031,-0.0070,0.0784,0.3133,5.2865,19.6470,165.4708,339.7577,174.3464
120.5484,0.3023,0.0230,0.0786,0.3133,5.2871,19.6462,162.3206,336.5415,174.2917
