#HOLE:,940A
#LEG:,155
#TOP:,62.331600
#BOTTOM:,231.800400
DEPTH_WMSF,C1,C2
m,in,in
132.1308,13.0681,15.2051
132.2832,12.6768,14.8213
132.4356,13.2119,15.1504
132.5880,13.2788,15.2373
132.7404,12.9453,14.6767
132.8928,12.8476,14.5143
133.0452,12.8351,14.3574
133.1976,12.7043,14.0186
133.3500,12.5205,14.8730
133.5024,12.3086,14.8633
133.6548,12.7500,15.0215
133.8072,12.9636,14.9997
133.9596,12.7866,14.0547
134.1120,12.6877,13.5752
134.2644,12.6287,13.3374
134.4168,12.5989,13.2611
134.5692,12.8584,13.2371
134.7216,12.6689,13.1962
134.8740,12.4779,13.1830
135.0264,12.4779,13.1858
135.1788,12.5281,13.2707
135.3312,12.3008,13.2051
135.4836,12.1017,13.0675
135.6360,12.1040,13.0629
135.7884,12.0945,13.0747
135.9408,12.0721,13.0644
136.0932,12.1187,13.1316
136.2456,12.3672,13.5977
136.3980,12.7061,13.7832
136.5504,12.8586,13.5813
136.7028,12.8675,13.5947
136.8552,12.7866,13.4209
137.0076,12.7197,13.2717
137.1600,12.8386,13.4190
137.3124,13.0967,13.8360
137.4648,13.3448,14.3230
137.6172,13.3534,14.4414
137.7696,12.7910,14.0214
137.9220,11.8588,13.2759
138.0744,11.8783,13.5264
138.2268,11.9214,13.6386
138.3792,12.0151,13.2252
138.5316,12.1634,13.2650
138.6840,12.1204,13.2437
138.8364,12.1267,13.4600
138.9888,12.1050,13.8110
139.1412,12.2441,13.6476
139.2936,12.3752,13.5579
139.4460,12.2695,13.4559
139.5984,12.2718,13.5155
139.7508,12.2775,13.4902
139.9032,12.3313,13.2212
140.0556,12.5352,13.2571
140.2080,12.8695,13.4061
140.3604,12.9785,13.6563
140.5128,13.0976,15.0879
140.6652,11.4459,15.1819
140.8176,11.3882,15.0915
140.9700,11.3882,15.0028
141.1224,11.3862,14.9375
141.2748,11.3745,14.2583
141.4272,11.5026,13.9965
141.5796,11.5420,13.9624
141.7320,11.9160,13.7904
141.8844,12.3243,13.7856
142.0368,12.8696,13.7721
142.1892,12.7452,13.7766
142.3416,13.3378,13.7313
142.4940,11.6875,13.5650
142.6464,11.7454,13.8066
142.7988,11.7639,13.8616
142.9512,11.7647,13.8644
143.1036,11.7991,13.9023
143.2560,11.4160,13.7139
143.4084,11.3323,13.5740
143.5608,11.3352,13.5024
143.7132,11.3323,13.4823
143.8656,11.3397,13.4843
144.0180,11.3509,13.4823
144.1704,11.3471,13.4844
144.3228,11.2770,13.2363
144.4752,11.3587,13.4043
144.6276,11.4797,13.8721
144.7800,11.4659,13.7134
144.9324,11.4113,13.5281
145.0848,11.3906,13.4805
145.2372,11.3848,13.4351
145.3896,11.4106,13.5132
145.5420,11.4312,13.6511
145.6944,11.4027,13.5483
145.8468,11.4010,13.4976
145.9992,11.4133,13.4912
146.1516,11.4503,13.4911
146.3040,11.4894,13.5002
146.4564,11.4687,13.5268
146.6088,11.4581,13.5834
146.7612,11.4982,13.5071
146.9136,11.5955,13.4799
147.0660,11.6687,13.4468
147.2184,11.7272,13.4015
147.3708,11.7960,13.2173
147.5232,11.8359,13.0491
147.6756,11.9136,13.0535
147.8280,11.9906,13.0665
147.9804,11.9624,13.0088
148.1328,11.9946,12.9501
148.2852,12.1102,12.9299
148.4376,12.1714,12.9447
148.5900,12.1968,12.9806
148.7424,12.2150,12.9820
148.8948,12.2213,12.9951
149.0472,12.2183,13.0515
149.1996,12.2695,13.1511
149.3520,12.3141,13.2388
149.5044,12.2913,13.4131
149.6568,12.1328,13.4619
149.8092,11.9903,13.1844
149.9616,12.0276,13.1723
150.1140,12.1334,13.2603
150.2664,12.2081,13.3745
150.4188,12.2307,13.1924
150.5712,12.2438,13.1261
150.7236,12.3011,13.1233
150.8760,12.3250,13.0374
151.0284,12.3995,13.1019
151.1808,12.3621,13.0689
151.3332,12.2343,13.1313
151.4856,12.2343,13.1000
151.6380,12.2404,13.1242
151.7904,12.4180,13.1135
151.9428,13.0214,13.0444
152.0952,12.2280,13.1518
152.2476,12.0254,13.1481
152.4000,12.3086,13.0835
152.5524,13.1440,13.1774
152.7048,13.0872,13.1638
152.8572,12.9658,13.1040
153.0096,12.3369,12.9963
153.1620,12.4384,12.9880
153.3144,11.9709,12.9204
153.4668,11.9575,12.9965
153.6192,11.9653,12.9927
153.7716,12.2079,13.0470
153.9240,13.3317,15.1046
154.0764,13.3541,15.2337
154.2288,13.3588,15.2427
154.3812,13.3515,15.2441
154.5336,13.3588,15.1705
154.6860,13.2519,15.1975
154.8384,11.5389,14.0073
154.9908,11.3470,13.4904
155.1432,11.3882,13.5962
155.2956,11.3753,13.4764
155.4480,11.3788,13.4572
155.6004,11.4965,13.4850
155.7528,11.5389,13.4340
155.9052,11.5577,13.3922
156.0576,11.6895,13.4108
156.2100,11.8776,13.6194
156.3624,12.1077,13.3365
156.5148,12.4076,13.5221
156.6672,11.6518,13.5962
156.8196,11.6518,13.4293
156.9720,11.6895,13.4108
157.1244,11.7224,13.3365
157.2768,11.7271,13.3690
157.4292,11.8023,13.3364
157.5816,11.8070,13.2202
157.7340,11.7647,13.2063
157.8864,11.8084,13.1417
158.0388,12.0373,13.1551
158.1912,12.2109,13.3365
158.3436,12.3062,13.4347
158.4960,12.3701,14.0073
158.6484,11.7365,13.7813
158.8008,11.5389,13.8644
158.9532,11.4730,13.8782
159.1056,11.3506,13.8182
159.2580,11.7083,13.9152
159.4104,11.7036,14.1637
159.5628,11.5035,13.8811
159.7152,11.4988,13.9180
159.8676,11.5012,13.9197
160.0200,11.4965,13.7536
160.1724,11.5201,13.7813
160.3248,11.7083,14.0533
160.4772,11.8823,13.8182
160.6296,11.9387,13.8552
160.7820,12.2014,14.1637
160.9344,11.2399,13.9042
161.0868,11.2352,13.9963
161.2392,11.2751,14.0211
161.3916,11.2374,13.7813
161.5440,11.2704,13.8644
161.6964,11.2327,13.7813
161.8488,11.1998,13.7813
162.0012,11.2892,13.8044
162.1536,11.0206,13.7073
162.3060,10.9640,13.9566
162.4584,10.9923,13.7212
162.6108,11.0347,13.7073
162.7632,11.0772,13.7073
162.9156,11.2469,13.8920
163.0680,11.2375,13.6333
163.2204,11.4777,13.7166
163.3728,11.4872,13.7628
163.5252,11.8540,14.0073
163.6776,11.7318,13.9198
163.8300,11.8447,14.3153
163.9824,12.3514,15.1659
164.1348,11.3976,13.7073
164.2872,11.5389,13.9336
164.4396,11.5483,13.7813
164.5920,11.6048,13.7258
164.7444,11.6048,13.7304
164.8968,11.6518,13.7720
165.0492,11.4259,13.8413
165.2016,11.3882,13.8229
165.3540,11.4118,14.2050
165.5064,11.5342,14.0027
165.6588,11.6001,14.1315
165.8112,11.3976,14.0073
165.9636,11.3470,13.9253
166.1160,11.1432,14.0303
166.2684,10.9640,13.8967
166.4208,10.9027,13.8644
166.5732,10.9687,13.9244
166.7256,10.9640,13.9244
166.8780,10.9687,13.9244
167.0304,10.9735,13.9244
167.1828,11.0819,14.5027
167.3352,11.0914,13.9705
167.4876,11.3459,14.0671
167.6400,11.7083,13.7582
167.7924,12.0297,13.9871
167.9448,11.7245,14.3589
168.0972,11.7036,14.3792
168.2496,11.5012,13.9843
168.4020,11.6189,14.0763
168.5544,11.7741,13.9475
168.7068,11.8869,14.6533
168.8592,11.9151,14.0349
169.0116,11.9306,14.0313
169.1640,11.9198,14.0395
169.3164,11.9245,14.0579
169.4688,11.9057,14.0855
169.6212,11.9223,14.0064
169.7736,11.5389,14.3289
169.9260,11.4636,14.0718
170.0784,11.4259,14.0763
170.2308,11.2657,13.8136
170.3832,11.2846,13.9244
170.5356,11.2940,13.9705
170.6880,11.2893,14.1177
170.8404,11.2893,13.9751
170.9928,11.3034,13.9751
171.1452,11.2940,14.0073
171.2976,11.2846,13.8828
171.4500,11.2823,13.7704
171.6024,11.2588,13.9180
171.7548,11.5389,14.4526
171.9072,11.5333,14.8329
172.0596,11.4235,14.5537
172.2120,11.4667,13.7689
172.3644,11.4573,13.7166
172.5168,11.4793,13.6981
172.6692,11.4981,13.7073
172.8216,11.5389,13.6518
172.9740,11.7459,13.9706
173.1264,11.9386,14.8854
173.2788,11.6706,14.9624
173.4312,11.5530,14.3883
173.5836,11.5012,13.5314
173.7360,11.5389,13.4850
173.8884,11.6518,13.5499
174.0408,11.6801,13.5592
174.1932,11.6625,13.5367
174.3456,11.6566,13.5035
174.4980,11.8682,13.4108
174.6504,12.0889,13.5314
174.8028,12.3562,13.6009
174.9552,12.6556,13.7997
175.1076,12.2672,13.7813
175.2600,12.4779,13.8229
175.4124,12.6696,13.9290
175.5648,12.7147,13.9566
175.7172,11.7804,13.5808
175.8696,11.7741,13.3302
176.0220,11.8466,13.2020
176.1744,11.9124,13.3321
176.3268,11.8838,13.3334
176.4792,11.8372,13.2841
176.6316,11.8232,13.3815
176.7840,11.9152,12.9968
176.9364,12.4732,14.6213
177.0888,12.1546,12.9547
177.2412,12.1968,13.0153
177.3936,12.1968,13.0200
177.5460,12.1968,13.0899
177.6984,12.1968,13.6056
177.8508,12.3187,14.0717
178.0032,12.4498,14.0535
178.1556,12.2297,15.1796
178.3080,12.5247,15.2202
178.4604,12.4451,15.2202
178.6128,11.9949,15.2202
178.7652,11.3670,15.2226
178.9176,11.3851,15.2217
179.0700,11.3662,15.1434
179.2224,11.4071,14.8293
179.3748,11.3921,14.3464
179.5272,11.3882,14.3641
179.6796,11.4165,14.6168
179.8320,11.4118,13.8182
179.9844,11.6095,13.7073
180.1368,11.7271,13.7813
180.2892,11.7788,13.7351
180.4416,11.8225,13.8100
180.5940,11.9574,15.1978
180.7464,11.4365,14.7457
180.8988,11.4589,14.6670
181.0512,11.4887,14.0058
181.2036,11.4698,14.0119
181.3560,11.4793,14.0457
181.5084,11.4777,14.1269
181.6608,11.3788,14.0993
181.8132,11.3081,13.6194
181.9656,11.3882,13.4154
182.1180,11.3882,13.4943
182.2704,11.4448,13.5406
182.4228,11.7396,13.5067
182.5752,11.4824,13.7812
182.7276,11.6848,13.4295
182.8800,11.7648,15.1931
183.0324,12.3499,15.2455
183.1848,12.5060,15.2382
183.3372,12.4779,15.2244
183.4896,12.0780,13.1227
183.6420,12.8562,15.1884
183.7944,11.2139,13.4757
183.9468,11.2610,13.3318
184.0992,11.3647,13.2202
184.2516,11.3859,13.3413
184.4040,11.3200,13.0003
184.5564,11.2563,12.9827
184.7088,11.3647,13.0339
184.8612,11.4847,13.0235
185.0136,11.5317,12.9257
185.1660,11.5718,12.7772
185.3184,11.6108,12.7730
185.4708,11.7224,12.9080
185.6232,11.9684,12.9547
185.7756,12.2671,12.9313
185.9280,12.1030,12.8286
186.0804,11.9950,12.7959
186.2328,11.9527,12.7897
186.3852,12.0279,12.9313
186.5376,12.2484,12.7351
186.6900,12.3187,12.5121
186.8424,12.4311,12.5714
186.9948,12.4077,12.5620
187.1472,12.4342,12.5664
187.2996,12.3375,12.6393
187.4520,12.4171,12.7726
187.6044,12.5434,13.0246
187.7568,12.5822,13.1539
187.9092,12.4186,13.2144
188.0616,12.4466,13.2376
188.2140,12.5308,13.4790
188.3664,12.5715,13.5592
188.5188,12.5247,13.4665
188.6712,12.5013,13.4479
188.8236,12.4155,13.7843
188.9760,12.3984,13.4572
189.1284,12.9636,13.5963
189.2808,13.3236,14.4216
189.4332,13.2706,14.3747
189.5856,13.2983,14.2509
189.7380,11.6518,13.5962
189.8904,11.6989,13.6703
190.0428,11.6659,13.5128
190.1952,11.4400,13.4711
190.3476,11.4887,13.6734
190.5000,11.4918,13.3272
190.6524,11.5389,13.4015
190.8048,11.6016,13.4912
190.9572,11.5012,13.2202
191.1096,11.4589,13.2156
191.2620,11.5013,13.4324
191.4144,11.6518,13.4062
191.5668,11.6848,13.8920
191.7192,11.6518,13.6641
