#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,237.134399
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
21.6408,20.0355,3.7156,1.1199,1.8437,-0.0050,37.3057,15.5440,4.6632,1.5544,0.5181
21.7932,21.5027,3.9168,1.2764,1.9867,-0.0242,35.2149,16.0538,2.0715,0.5179,1.0357
21.9456,20.8897,3.2671,1.2628,1.9909,-0.0594,34.0000,12.5001,4.0000,0.5000,0.5000
22.0980,21.4445,2.6276,1.2619,2.1258,-0.0964,31.0720,16.0539,3.1072,2.5893,0.5179
22.2504,21.1968,1.7976,1.1315,2.1916,-0.1190,34.7150,15.5440,4.6632,1.0363,0.5181
22.4028,21.1458,1.5144,1.0492,2.2178,-0.1192,31.5572,12.9333,2.5867,1.5520,0.0000
22.5552,19.1800,1.7404,0.9648,1.9702,-0.0894,32.6086,13.4575,5.1759,1.0352,0.0000
22.7076,19.3992,2.6939,1.0763,1.8872,-0.0559,28.0281,12.0120,0.5005,1.5015,0.5005
22.8600,18.4239,3.8359,1.1724,1.6480,-0.0084,35.2149,12.4288,2.0715,1.0357,0.0000
23.0124,20.9972,5.4819,1.4225,1.7528,0.0381,31.5737,11.9048,2.0704,0.0000,1.0352
23.1648,20.4429,6.2358,1.4773,1.6050,0.0711,46.6078,12.4288,2.0714,2.5893,0.5179
23.3172,20.8877,6.8903,1.5285,1.5813,0.0991,36.2694,9.8446,0.5182,1.0363,0.5181
23.4696,19.6658,6.3700,1.4248,1.5021,0.0893,32.0580,14.4777,3.1024,1.0341,1.0341
23.6220,21.4844,7.0269,1.5596,1.6333,0.1009,36.5365,13.0131,2.5025,2.0020,0.5005
23.7744,20.8639,6.8775,1.5678,1.5801,0.0906,37.2863,19.6788,5.1786,0.5179,0.5179
23.9268,21.4599,8.2441,1.8121,1.4930,0.1219,33.1435,10.3575,3.6251,0.0000,0.0000
24.0792,20.4583,8.9864,1.9548,1.2960,0.1369,34.1615,18.6335,5.6936,1.5528,1.5528
24.2316,21.6688,11.0128,2.2502,1.2038,0.1966,34.6612,15.5199,4.6560,0.5173,1.5520
24.3840,21.5639,12.1995,2.3960,1.0579,0.2368,40.3727,13.4576,4.6584,0.5176,1.0352
24.5364,21.7937,13.1054,2.4595,0.9815,0.2771,40.3935,16.0539,4.1429,0.5179,2.0715
24.6888,19.5739,12.2720,2.2727,0.8249,0.2654,34.6790,19.6686,4.1408,0.0000,1.5528
24.8412,17.3999,12.0463,2.1755,0.6048,0.2715,26.9151,8.7992,3.6232,1.0352,0.5176
24.9936,15.4404,11.9843,2.1138,0.3904,0.2801,29.0290,10.5105,4.0040,0.5005,0.5005
25.1460,15.4535,13.1368,2.2840,0.2617,0.3136,28.4679,10.3520,2.5880,2.0704,0.5176
25.2984,14.2732,12.2013,2.1367,0.2341,0.2882,27.4184,10.3466,2.0693,1.0347,0.5173
25.4508,12.9537,10.9569,1.9982,0.2256,0.2431,21.7504,9.8394,1.5536,0.5179,1.0357
25.6032,11.8761,9.2916,1.7817,0.2920,0.1889,20.7147,8.2859,2.0715,0.0000,1.0357
25.7556,11.7562,8.5626,1.6903,0.3608,0.1645,21.0316,7.5112,2.5038,0.0000,0.5007
25.9080,11.9430,8.0532,1.5983,0.4394,0.1531,23.7972,5.6907,3.6213,0.0000,0.0000
