#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,CALI
m,in
217.7796,15.5695
217.9320,15.5707
218.0844,15.5762
218.2368,15.5685
218.3892,15.5749
218.5416,15.5701
218.6940,15.5729
218.8464,15.5672
218.9988,15.5715
219.1512,15.5622
219.3036,15.5757
219.4560,15.5633
219.6084,15.5648
219.7608,15.5608
219.9132,15.5644
220.0656,15.5747
220.2180,15.5571
220.3704,15.5653
220.5228,15.5582
220.6752,15.5628
220.8276,15.5376
220.9800,15.6095
221.1324,15.6049
221.2848,15.5980
221.4372,15.6098
221.5896,15.6020
221.7420,15.6081
221.8944,15.5998
222.0468,15.6033
222.1992,15.6020
222.3516,15.6051
222.5040,15.6064
222.6564,15.6022
222.8088,15.5988
222.9612,15.6135
223.1136,15.5980
223.2660,15.6113
223.4184,15.6040
223.5708,15.5995
223.7232,15.6016
223.8756,15.6085
224.0280,15.6044
224.1804,15.6005
224.3328,15.6116
224.4852,15.5988
224.6376,15.5763
224.7900,15.7378
224.9424,15.7730
225.0948,15.7738
225.2472,15.7797
225.3996,15.7738
225.5520,9.7676
225.7044,2.9145
225.8568,2.9137
226.0092,2.9153
226.1616,2.9146
226.3140,2.9140
226.4664,2.9158
226.6188,2.9151
226.7712,2.9150
226.9236,2.9144
227.0760,-999.2500

