#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
108.3564,90.5566,67.2379,11.4645,2.6344,1.6495,194.7031,74.2422,21.9531,2.4570,2.5801
108.5088,90.8282,67.2374,11.3839,2.6651,1.6655,193.8281,73.9531,20.6797,4.2383,3.8750
108.6612,91.7406,67.7238,11.3797,2.7132,1.6946,190.0625,75.7429,21.0313,4.5586,6.5000
108.8136,90.4648,66.8594,11.1347,2.6668,1.6927,196.3125,72.0781,21.9375,2.8320,6.5938
108.9660,89.0555,65.5317,10.9149,2.6575,1.6588,193.4063,65.0859,16.1152,2.5234,4.1123
109.1184,89.0060,65.5756,11.0150,2.6470,1.6416,196.4375,61.7500,16.5742,3.8691,4.4697
109.2708,89.3692,66.3072,11.2047,2.6054,1.6467,203.1875,65.3594,20.0625,4.6523,5.4961
109.4232,88.4964,66.2330,11.1501,2.5151,1.6532,183.1875,68.2500,19.8281,6.1133,7.5625
109.5756,87.2950,64.9990,10.8237,2.5188,1.6458,183.8906,65.0850,14.3809,6.2734,6.1563
109.7280,89.8326,65.2791,10.8293,2.7739,1.6610,195.5469,66.0059,17.6016,4.4492,3.5156
109.8804,93.9489,66.3571,11.1560,3.1171,1.6592,208.8750,69.4219,19.7832,4.0996,2.7266
110.0328,95.1516,66.4559,11.3825,3.2418,1.6202,202.3750,74.2734,21.2344,4.7156,4.1563
110.1852,93.9285,65.9560,11.4849,3.1601,1.5709,181.4688,81.2344,19.7656,3.5430,5.3203
110.3376,92.4243,64.5902,11.3649,3.1445,1.5150,188.6250,76.1250,19.9219,2.3596,3.5396
110.4900,90.5294,62.1808,11.0548,3.2026,1.4360,200.0938,62.9531,22.3711,3.8711,3.8379
110.6424,89.1002,59.4071,10.6795,3.3545,1.3487,183.7500,64.3438,17.0313,4.0273,4.1328
110.7948,89.2238,58.0426,10.5536,3.5226,1.2941,176.0000,70.8672,17.9844,4.8359,3.8047
110.9472,91.8554,58.5856,10.6607,3.7586,1.3045,190.8750,69.4219,20.7813,3.5000,4.8750
111.0996,94.4361,59.6852,10.7387,3.9259,1.3532,197.8633,71.1563,20.0547,3.4688,3.2578
111.2520,94.8390,60.1852,10.6441,3.9149,1.4010,199.1172,72.2344,18.9023,5.5361,3.4844
111.4044,94.9262,61.9570,10.9050,3.7246,1.4526,194.7031,69.7031,21.5000,6.2695,5.3237
111.5568,95.1848,63.7679,11.3034,3.5492,1.4793,188.8320,79.9063,20.3906,5.4258,5.6270
111.7092,94.6442,64.1441,11.4792,3.4457,1.4665,194.1250,80.2500,17.9795,4.7336,5.9175
111.8616,93.8599,63.6122,11.4801,3.4172,1.4353,195.9688,67.9375,17.9773,3.6289,7.3008
112.0140,92.6984,62.6615,11.4208,3.3933,1.3917,204.1563,63.1233,18.0043,4.4688,4.9063
112.1664,92.6746,63.0510,11.5882,3.3467,1.3813,198.7813,67.4531,17.2246,6.3789,4.4023
112.3188,93.5926,64.1089,11.7978,3.3309,1.4014,197.7031,73.2578,15.6289,4.0078,4.1719
112.4712,94.1145,64.5649,11.9172,3.3383,1.4044,210.1250,70.5938,15.0269,4.2383,5.0352
112.6236,95.4827,66.5029,12.3430,3.2739,1.4331,200.8756,71.2730,18.6487,4.5411,4.7344
112.7760,96.1598,68.9323,12.7776,3.0760,1.4887,211.1879,64.5940,22.6561,5.2734,4.4902
112.9284,96.1310,70.7730,12.9831,2.8648,1.5552,217.3582,68.1254,20.2108,3.8711,4.3381
113.0808,95.3175,71.1432,12.8097,2.7310,1.6111,198.0613,74.8442,18.1307,4.5352,8.1252
113.2332,91.4926,68.3316,12.0847,2.6166,1.5906,194.7806,79.6087,21.2030,4.7959,5.3280
113.3856,87.1907,65.1080,11.3496,2.4947,1.5482,184.2184,69.0932,19.7577,5.1914,4.0011
113.5380,83.1498,61.8481,10.6475,2.4065,1.4972,178.3283,59.5780,17.6935,4.4199,5.7655
113.6904,83.2446,62.0050,10.5043,2.3995,1.5346,181.9148,56.8284,19.6171,4.1643,4.3242
113.8428,84.1273,63.1995,10.5086,2.3643,1.6033,194.5304,61.8128,17.6876,4.0877,4.3672
113.9952,84.7596,64.5701,10.5645,2.2809,1.6721,180.0939,66.8592,19.0858,4.6250,4.3086
