#HOLE:,940a
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
82.7532,97.7872,61.0887,10.6167,4.1459,1.4590,192.4883,75.1174,24.4131,2.8169,3.7559
82.9056,98.7804,63.4799,11.1376,3.9880,1.4953,202.1627,73.3427,20.6864,4.7015,3.7612
83.0580,100.4894,67.1121,11.5978,3.7707,1.6159,229.8311,70.3565,23.4522,0.0000,1.8762
83.2104,100.1166,66.8907,11.3462,3.7536,1.6527,215.9624,80.7512,18.7793,2.8169,2.8169
83.3628,98.3850,66.9875,11.0847,3.5471,1.7101,200.0000,69.4836,26.2911,5.6338,4.6948
83.5152,96.3984,67.9302,11.1814,3.2161,1.7458,212.4060,78.0075,16.9173,2.8195,3.7594
83.6676,97.2260,70.6575,11.6049,3.0015,1.8209,187.0301,77.0677,28.1955,5.6391,8.4586
83.8200,95.8117,71.6963,11.7039,2.7244,1.8619,201.9728,68.5768,27.2428,9.3941,7.5153
83.9724,98.1762,74.6170,11.8708,2.6615,1.9990,206.7669,72.3684,13.1579,4.6992,5.6391
84.1248,101.4386,77.1275,11.9774,2.7465,2.1241,231.7073,64.7280,24.3902,5.6285,3.7523
84.2772,98.6254,74.8919,11.4425,2.6812,2.0997,233.8028,79.8122,19.7183,8.4507,5.6338
84.4296,95.7658,72.6795,10.9776,2.6081,2.0627,183.2707,62.0301,17.8571,1.8797,10.3383
84.5820,91.8647,70.0460,10.6142,2.4649,1.9812,198.3083,78.0075,15.9774,3.7594,6.5789
84.7344,97.1449,72.8228,11.1692,2.7477,2.0332,192.4883,81.6901,26.2911,4.6948,1.8779
84.8868,96.3894,70.5439,10.9924,2.9198,1.9354,221.9088,76.1636,16.9252,2.8209,3.7612
85.0392,96.1407,70.3640,11.0581,2.9121,1.9119,189.2839,69.1037,27.0406,2.0030,4.0060
85.1916,98.7169,73.0132,11.3548,2.9038,2.0076,190.6103,71.3615,29.1080,5.6338,6.5728
85.3440,104.0121,77.5713,11.9428,2.9871,2.1568,228.3835,87.4060,26.3158,4.6992,2.8195
85.4964,103.8743,77.6044,11.7375,2.9678,2.1993,222.7444,84.5865,30.0752,4.6992,4.6992
85.6488,102.6282,76.8878,11.6532,2.9080,2.1742,195.3969,79.8497,24.4246,4.6970,3.7576
85.8012,98.0352,74.9597,11.3211,2.6069,2.1276,232.8638,87.3239,11.2676,2.8169,2.8169
