#HOLE:,940A
#LEG:,155
#TOP:,75.895203
#BOTTOM:,235.000793
DEPTH_WMSF,IDPH,IMPH,SFLU
m,ohmm,ohmm,ohmm
162.0012,1.4249,1.3699,1.2755
162.1536,1.4175,1.3581,1.2696
162.3060,1.4159,1.3450,1.2557
162.4584,1.4170,1.3332,1.2902
162.6108,1.3883,1.3232,1.2904
162.7632,1.3776,1.3155,1.2518
162.9156,1.3778,1.3141,1.1617
163.0680,1.3800,1.3218,1.1898
163.2204,1.3865,1.3366,1.1814
163.3728,1.3880,1.3545,1.1480
163.5252,1.3911,1.3708,1.2988
163.6776,1.4132,1.3812,1.3223
163.8300,1.4543,1.3873,1.3303
163.9824,1.4632,1.3949,1.2889
164.1348,1.4675,1.4067,1.3117
164.2872,1.4741,1.4213,1.3405
164.4396,1.4859,1.4367,1.3156
164.5920,1.4925,1.4503,1.3560
164.7444,1.4944,1.4573,1.3731
164.8968,1.4964,1.4572,1.3714
165.0492,1.4975,1.4531,1.3722
165.2016,1.4966,1.4480,1.3668
165.3540,1.5001,1.4440,1.3554
165.5064,1.4991,1.4434,1.3269
165.6588,1.4938,1.4455,1.3615
165.8112,1.4907,1.4468,1.3702
165.9636,1.4899,1.4450,1.3696
166.1160,1.4918,1.4399,1.3704
166.2684,1.4909,1.4341,1.3733
166.4208,1.4928,1.4329,1.3139
166.5732,1.5023,1.4400,1.3400
166.7256,1.5066,1.4545,1.3815
166.8780,1.5088,1.4713,1.3954
167.0304,1.5113,1.4847,1.4087
167.1828,1.5124,1.4905,1.4085
167.3352,1.5129,1.4880,1.4081
167.4876,1.5129,1.4792,1.4126
167.6400,1.5129,1.4668,1.3352
167.7924,1.5069,1.4535,1.3271
167.9448,1.5018,1.4420,1.3399
168.0972,1.4932,1.4339,1.3685
168.2496,1.4856,1.4289,1.3786
168.4020,1.4845,1.4261,1.3788
168.5544,1.4833,1.4256,1.3641
168.7068,1.4845,1.4284,1.3480
168.8592,1.4857,1.4349,1.3543
169.0116,1.4924,1.4441,1.3734
169.1640,1.4984,1.4537,1.3773
169.3164,1.5006,1.4606,1.3734
169.4688,1.5026,1.4637,1.3767
169.6212,1.5031,1.4644,1.3403
169.7736,1.5063,1.4643,1.3287
169.9260,1.5132,1.4643,1.3552
170.0784,1.5157,1.4652,1.3278
170.2308,1.5174,1.4674,1.3067
170.3832,1.5196,1.4706,1.3358
170.5356,1.5230,1.4743,1.3057
170.6880,1.5233,1.4781,1.3559
170.8404,1.5269,1.4806,1.3917
170.9928,1.5380,1.4813,1.3944
171.1452,1.5436,1.4817,1.4045
171.2976,1.5551,1.4844,1.3939
171.4500,1.5587,1.4924,1.4318
171.6024,1.5563,1.5062,1.4323
171.7548,1.5581,1.5214,1.4148
171.9072,1.5558,1.5283,1.4041
172.0596,1.5526,1.5188,1.4192
172.2120,1.5547,1.4935,1.4196
172.3644,1.5385,1.4613,1.4189
172.5168,1.5198,1.4338,1.4163
172.6692,1.5195,1.4203,1.3793
172.8216,1.5183,1.4247,1.2638
172.9740,1.5185,1.4428,1.2411
173.1264,1.5143,1.4644,1.3072
173.2788,1.5165,1.4799,1.3260
173.4312,1.5332,1.4856,1.4022
173.5836,1.5492,1.4838,1.3915
173.7360,1.5551,1.4800,1.4048
173.8884,1.5593,1.4799,1.4039
174.0408,1.5807,1.4885,1.3488
174.1932,1.5967,1.5096,1.5182
174.3456,1.6092,1.5421,1.5417
174.4980,1.6151,1.5773,1.4844
174.6504,1.6133,1.6018,1.4751
174.8028,1.6117,1.6057,1.4764
174.9552,1.6113,1.5884,1.4446
175.1076,1.6032,1.5573,1.4232
175.2600,1.5647,1.5225,1.3829
175.4124,1.5566,1.4937,1.3567
175.5648,1.5467,1.4774,1.3744
175.7172,1.5269,1.4753,1.3785
175.8696,1.5227,1.4827,1.3651
176.0220,1.5215,1.4912,1.3823
176.1744,1.5256,1.4946,1.3162
176.3268,1.5320,1.4914,1.2970
176.4792,1.5348,1.4847,1.3202
176.6316,1.5363,1.4804,1.3971
176.7840,1.5389,1.4827,1.3977
176.9364,1.5487,1.4913,1.3968
177.0888,1.5639,1.5028,1.3955
177.2412,1.5714,1.5141,1.3770
177.3936,1.5759,1.5238,1.3734
177.5460,1.5827,1.5325,1.3606
177.6984,1.5981,1.5411,1.3307
177.8508,1.6049,1.5490,1.4121
178.0032,1.6068,1.5543,1.4841
178.1556,1.6104,1.5560,1.4531
178.3080,1.6151,1.5553,1.4525
178.4604,1.6140,1.5539,1.4614
178.6128,1.6137,1.5536,1.4202
178.7652,1.6122,1.5554,1.4296
178.9176,1.5978,1.5582,1.4261
179.0700,1.5962,1.5593,1.4391
179.2224,1.6020,1.5562,1.4159
179.3748,1.5945,1.5489,1.3988
179.5272,1.5930,1.5405,1.4038
179.6796,1.5928,1.5351,1.3815
