#HOLE:,940A
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg
88.2396,0.1864,0.2390,0.0884,0.3157,5.1207,21.2150,111.4940,287.3390,175.9230
88.3920,0.2090,0.2196,0.0882,0.3157,5.1197,21.1763,117.3453,293.1572,175.9052
88.5444,0.2318,0.1955,0.0878,0.3156,5.1153,21.1392,122.9127,298.7026,175.8942
88.6968,0.2413,0.1842,0.0881,0.3156,5.1167,21.1085,126.5824,302.3534,175.8804
88.8492,0.2576,0.1600,0.0876,0.3155,5.1158,21.0704,131.8122,307.5923,175.8938
89.0016,0.2684,0.1408,0.0872,0.3155,5.1141,21.0361,136.4323,312.1924,175.8743
89.1540,0.2693,0.1394,0.0869,0.3155,5.1127,21.0041,137.8767,313.6248,175.8617
89.3064,0.2700,0.1381,0.0870,0.3154,5.1106,20.9739,138.1113,313.8626,175.8648
89.4588,0.2762,0.1260,0.0866,0.3154,5.1116,20.9507,140.2423,315.9557,175.8257
89.6112,0.2768,0.1237,0.0866,0.3154,5.1121,20.9301,141.0756,316.8076,175.8436
89.7636,0.2776,0.1210,0.0864,0.3153,5.1111,20.9088,141.7314,317.4820,175.8616
89.9160,0.2799,0.1164,0.0863,0.3153,5.1021,20.8783,142.4841,318.2422,175.8680
90.0684,0.2749,0.1278,0.0863,0.3152,5.0962,20.8422,141.8619,317.6563,175.9047
90.2208,0.2722,0.1335,0.0862,0.3152,5.0939,20.8097,139.3959,315.2115,175.9276
90.3732,0.2719,0.1341,0.0860,0.3151,5.0945,20.7844,139.1142,314.9623,175.9604
90.5256,0.2714,0.1351,0.0859,0.3151,5.1024,20.7698,138.8867,314.7518,175.9778
90.6780,0.2701,0.1376,0.0863,0.3150,5.0967,20.7456,138.4568,314.4022,176.0581
90.8304,0.2692,0.1393,0.0864,0.3150,5.0936,20.7278,137.9253,313.8830,176.0705
90.9828,0.2673,0.1425,0.0862,0.3149,5.0916,20.7134,137.4275,313.3960,176.0814
91.1352,0.2650,0.1467,0.0859,0.3149,5.0910,20.6987,136.3227,312.2801,176.0706
91.2876,0.2622,0.1523,0.0851,0.3149,5.0896,20.6802,135.3128,311.2741,176.0745
