Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Vel.(m/s)
155	 940	A	  2	H	 7	  52.00	      12.320	 2018.200
155	 940	A	  2	H	 7	  54.50	      12.345	 2018.200
155	 940	A	  2	H	 7	  57.00	      12.370	 2018.200
155	 940	A	  2	H	 7	  59.60	      12.396	 2013.200
155	 940	A	  2	H	 7	  62.00	      12.420	 1508.600
155	 940	A	  3	H	 1	   5.00	      12.350	 2005.600
155	 940	A	  3	H	 1	   7.00	      12.370	 2018.700
155	 940	A	  3	H	 1	   9.70	      12.397	 2023.800
155	 940	A	  3	H	 1	  12.00	      12.420	 2030.600
155	 940	A	  3	H	 1	  14.50	      12.445	 2017.500
155	 940	A	  3	H	 1	  17.00	      12.470	 1524.800
155	 940	A	  3	H	 1	  22.00	      12.520	 1521.100
