Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Treatment	Level 	Demag Type	Level	 Decl.	 Incl.	Intensity	Hole Incl.	Intensity X	Intensity Y	Intensity Z	Run   	Comment
155	 940	A	  2	H	 4	   5.00	       7.350	NRM      	      	AFD       	   20	 71.90	 -1.00	1.816E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  10.00	       7.400	NRM      	      	AFD       	   20	 70.60	 -1.70	2.185E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  15.00	       7.450	NRM      	      	AFD       	   20	 72.70	 -4.40	1.542E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  20.00	       7.500	NRM      	      	AFD       	   20	 75.00	 -8.20	1.452E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  25.00	       7.550	NRM      	      	AFD       	   20	 72.00	-17.40	1.156E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  30.00	       7.600	NRM      	      	AFD       	   20	 70.80	-19.90	1.238E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  35.00	       7.650	NRM      	      	AFD       	   20	 72.40	-19.70	1.434E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  40.00	       7.700	NRM      	      	AFD       	   20	 73.20	-18.70	1.613E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  45.00	       7.750	NRM      	      	AFD       	   20	 70.70	-21.40	1.500E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  50.00	       7.800	NRM      	      	AFD       	   20	 69.00	-24.10	1.352E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  55.00	       7.850	NRM      	      	AFD       	   20	 68.80	-23.80	1.313E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  60.00	       7.900	NRM      	      	AFD       	   20	 72.30	-22.20	1.308E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  65.00	       7.950	NRM      	      	AFD       	   20	 74.90	-19.70	1.404E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  70.00	       8.000	NRM      	      	AFD       	   20	 76.60	-17.60	1.559E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  75.00	       8.050	NRM      	      	AFD       	   20	 76.90	-19.00	1.561E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  80.00	       8.100	NRM      	      	AFD       	   20	 74.40	-23.50	1.416E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  85.00	       8.150	NRM      	      	AFD       	   20	 72.40	-26.60	1.337E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  90.00	       8.200	NRM      	      	AFD       	   20	 70.70	-25.20	1.422E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	  95.00	       8.250	NRM      	      	AFD       	   20	 71.80	-22.60	1.580E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 100.00	       8.300	NRM      	      	AFD       	   20	 72.20	-22.70	1.566E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 105.00	       8.350	NRM      	      	AFD       	   20	 71.70	-22.00	1.555E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 110.00	       8.400	NRM      	      	AFD       	   20	 72.40	-19.70	1.667E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 115.00	       8.450	NRM      	      	AFD       	   20	 71.20	-18.90	1.594E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 120.00	       8.500	NRM      	      	AFD       	   20	 70.50	-19.60	1.326E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 125.00	       8.550	NRM      	      	AFD       	   20	 72.70	-18.10	1.309E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 130.00	       8.600	NRM      	      	AFD       	   20	 74.90	-15.50	1.500E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 135.00	       8.650	NRM      	      	AFD       	   20	 72.90	-14.10	1.584E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 140.00	       8.700	NRM      	      	AFD       	   20	 71.20	 -9.30	1.902E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 145.00	       8.750	NRM      	      	AFD       	   20	 73.70	 -5.70	2.104E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 4	 150.00	       8.800	NRM      	      	AFD       	   20	 73.60	 -4.30	1.298E+01	          	           	           	           	  1844	
155	 940	A	  2	H	 5	   0.00	       8.800	NRM      	      	AFD       	   20	 53.60	 -9.30	5.071E+00	          	           	           	           	  1845	
155	 940	A	  2	H	 5	   5.00	       8.850	NRM      	      	AFD       	   20	 60.40	 -6.10	1.385E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  10.00	       8.900	NRM      	      	AFD       	   20	 60.80	 -5.20	1.897E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  15.00	       8.950	NRM      	      	AFD       	   20	 61.30	 -5.60	1.704E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  20.00	       9.000	NRM      	      	AFD       	   20	 60.30	 -8.50	1.269E+01	          	           	           	           	  1845	
155	 940	A	  2	H	 5	  25.00	       9.050	NRM      	      	AFD       	   20	 55.70	-13.10	1.118E+01	          	           	           	           	  1845	
